rank,min_ov,max_ov,n_ov1,n_ov2,n_ov3,n_ov4,var_ov,sigma_min,sigma_2nd,d_min,d_max,d_mean,gram_eig_min,fiedler,fiedler_bin,lap_eig3,null_dim,null_min_weight,group
10,1,4,9,19,15,2,0.661728,0.319772,0.573523,2,6,3.8889,0.066934,17.197130,10.000000,18.681164,0,None,FR
10,1,4,8,20,16,1,0.572840,0.295578,0.526554,2,8,4.4444,0.021679,18.060325,10.000000,19.309769,0,None,FR
10,1,4,6,25,12,2,0.528395,0.179373,0.753513,2,6,4.0000,0.026922,17.710054,10.000000,19.790933,0,None,FR
10,1,4,7,22,15,1,0.528395,0.271969,0.507408,2,8,4.4444,0.068183,18.328881,10.000000,19.295224,0,None,FR
10,1,4,8,20,16,1,0.572840,0.354701,0.503981,2,8,4.2222,0.062623,18.166988,10.000000,18.689594,0,None,FR
10,1,4,7,22,15,1,0.528395,0.268397,0.518260,2,8,4.5556,0.048851,17.724957,10.000000,19.801803,0,None,FR
10,1,4,10,17,16,2,0.706173,0.292499,0.768570,2,8,4.0000,0.089197,16.893784,10.000000,19.139178,0,None,FR
10,1,4,8,20,16,1,0.572840,0.264909,0.585474,2,6,4.2222,0.060491,17.742450,10.000000,19.548889,0,None,FR
10,1,4,6,25,12,2,0.528395,0.336023,0.494914,2,8,4.5556,0.072831,18.386632,10.000000,19.195886,0,None,FR
10,1,4,5,27,11,2,0.483951,0.222059,0.515328,2,8,4.5556,0.049349,18.324784,10.000000,19.541538,0,None,FR
10,1,4,6,25,12,2,0.528395,0.189631,0.651447,2,8,4.5556,0.027171,17.743871,10.000000,19.566041,0,None,FR
10,1,4,8,20,16,1,0.572840,0.311618,0.599685,2,8,4.4444,0.043313,18.369907,10.000000,19.436577,0,None,FR
10,1,4,9,18,17,1,0.617284,0.243754,0.651672,2,8,4.4444,0.054521,17.076545,10.000000,19.583892,0,None,FR
10,1,3,6,23,16,0,0.439506,0.204984,0.475633,2,8,4.5556,0.021376,18.898364,10.000000,19.364101,0,None,FR
10,1,4,8,21,14,2,0.617284,0.256914,0.624602,2,8,4.5556,0.017738,17.776148,10.000000,18.496629,0,None,FR
10,1,4,9,19,15,2,0.661728,0.354738,0.552430,2,8,4.7778,0.038192,16.838132,10.000000,19.444921,0,None,FR
10,1,4,5,26,13,1,0.439506,0.152481,0.772939,2,6,4.6667,0.005938,18.739156,10.000000,19.833543,0,None,FR
10,1,4,9,21,11,4,0.750617,0.380402,0.466539,2,6,3.8889,0.099448,15.974122,10.000000,19.723819,0,None,FR
10,1,4,5,26,13,1,0.439506,0.501792,0.666255,2,8,4.8889,0.111785,18.193336,10.000000,19.649613,0,None,FR
10,1,4,6,25,12,2,0.528395,0.173955,0.745171,2,6,4.2222,0.020045,17.450916,10.000000,19.856309,0,None,FR
10,1,4,9,19,15,2,0.661728,0.297977,0.661915,2,8,4.4444,0.073549,16.958398,10.000000,19.143287,0,None,FR
10,1,4,4,29,10,2,0.439506,0.152152,0.721095,2,6,4.4444,0.011044,18.325362,10.000000,19.833847,0,None,FR
10,1,4,11,15,17,2,0.750617,0.341569,0.629830,2,8,4.4444,0.084954,16.641384,10.000000,19.277631,0,None,FR
10,1,4,7,22,15,1,0.528395,0.294245,0.445042,2,8,4.3333,0.053856,17.525145,10.000000,20.173167,0,None,FR
10,1,4,6,25,12,2,0.528395,0.170746,0.720298,2,8,4.3333,0.014617,17.241490,10.000000,19.940913,0,None,FR
10,1,4,5,26,13,1,0.439506,0.188237,0.610393,2,8,4.7778,0.014731,18.989320,10.000000,19.386400,0,None,FR
10,1,4,7,24,11,3,0.617284,0.382124,0.648444,2,8,4.5556,0.032137,18.181908,10.000000,19.099089,0,None,FR
