id,det_A,rank_F2_A,v2_detA
941,55184,6,4
942,-86016,4,12
943,-116224,6,9
944,-108336,5,4
945,56040,6,3
946,115824,6,4
947,29592,6,3
948,79176,6,3
949,14728,5,3
950,-16224,6,5
951,123680,5,5
952,7136,5,5
953,-26808,6,3
954,195000,6,3
955,21040,5,4
956,-47424,6,6
957,-205456,5,4
958,238204,6,2
959,-85248,5,8
960,5512,6,3
961,7168,6,10
962,-300736,5,6
963,-10848,4,5
964,-123312,5,4
965,-137664,4,6
966,-25864,6,3
967,-51528,5,3
968,9528,6,3
969,24320,3,8
970,52304,6,4
971,45612,6,2
972,23208,5,3
973,49872,5,4
974,33752,6,3
975,17280,3,7
976,43060,6,2
977,-13296,5,4
978,-84000,4,5
979,1336,6,3
980,54696,6,3
981,18144,4,5
982,29280,5,5
983,26520,5,3
984,-6496,5,5
985,5088,6,5
986,-160704,5,6
987,106976,5,5
988,-96856,6,3
989,61264,5,4
990,-33984,4,6
991,119072,5,5
992,10064,5,4
993,48480,5,5
994,-43896,5,3
995,-12844,6,2
996,33056,5,5
997,7744,5,6
998,-35312,6,4
999,17792,5,7
1000,-249312,5,5
1001,-864,5,5
1002,256,5,8
1003,70512,5,4
1004,3424,5,5
1005,40160,5,5
1006,-137016,6,3
1007,16488,5,3
1008,47952,6,4
1009,21840,5,4
1010,168480,5,5
1011,-18032,6,4
1012,18560,5,7
1013,12456,6,3
1014,56248,6,3
1015,-37768,6,3
1016,-54504,6,3
1017,2016,5,5
1018,-18000,6,4
1019,4448,5,5
1020,12816,5,4
1021,133568,6,6
1022,58280,5,3
1023,-11048,6,3
1024,55952,6,4
1025,53040,6,4
1026,50784,4,5
1027,59640,6,3
1028,-7444,6,2
1029,-18944,5,9
1030,8720,5,4
1031,8784,5,4
1032,113424,5,4
1033,4832,4,5
1034,-13568,4,8
1035,-14176,5,5
1036,-12580,6,2
1037,19420,6,2
1038,13824,5,9
1039,-19552,5,5
1040,9744,5,4
1041,-6720,6,6
1042,49504,5,5
1043,48960,5,6
1044,37696,4,6
1045,-57920,4,6
1046,-7808,4,7
1047,11520,4,8
1048,3776,5,6
1049,74000,5,4
1050,6440,6,3
1051,-111132,6,2
1052,159512,6,3
1053,139584,5,6
1054,-32256,6,9
1055,19040,5,5
1056,40208,5,4
1057,-10744,6,3
1058,46080,4,10
1059,188084,6,2
1060,65712,6,4
1061,-1480,6,3
1062,116160,5,6
1063,16072,6,3
1064,-130712,6,3
1065,28320,5,5
1066,-18416,5,4
1067,98352,5,4
1068,-11056,6,4
1069,-93092,6,2
1070,-119432,5,3
1071,-904,6,3
1072,4708,6,2
1073,69280,5,5
1074,-1056,5,5
1075,-39500,6,2
1076,-3888,6,4
1077,4560,5,4
1078,-14040,5,3
1079,13104,6,4
1080,-72184,6,3
1081,53792,6,5
1082,78096,5,4
1083,7328,5,5
1084,7680,3,9
1085,9584,6,4
1086,29792,4,5
1087,33744,5,4
1088,-14992,5,4
1089,-30208,6,9
1090,-1632,5,5
1091,-23552,5,10
1092,176540,6,2
1093,-41840,4,4
1094,-42552,6,3
1095,76248,6,3
1096,44560,6,4
1097,154624,4,10
1098,46428,6,2
1099,792,6,3
1100,-129544,5,3
1101,-3424,5,5
1102,103816,5,3
1103,62016,5,6
1104,-24060,6,2
1105,-3280,5,4
1106,88560,5,4
1107,162944,4,7
1108,-56304,6,4
1109,-21664,6,5
1110,-132544,5,6
1111,-46584,6,3
1112,-43776,4,8
1113,-36808,6,3
1114,-299424,5,5
1115,11904,5,7
1116,-46136,5,3
1117,51520,5,6
1118,4864,6,8
1119,-6392,5,3
1120,48432,5,4
1121,-2416,6,4
1122,-41184,5,5
1123,54320,5,4
1124,113088,5,6
1125,12608,5,6
1126,-4800,6,6
1127,-24064,5,9
1128,128756,6,2
1129,-44432,5,4
1130,15040,6,6
1131,15680,5,6
1132,-49728,5,6
1133,149632,4,7
1134,-18448,5,4
1135,-45312,5,8
1136,14400,4,6
1137,101728,5,5
1138,-48920,6,3
1139,193888,5,5
1140,7816,6,3
1141,101952,6,6
1142,114536,5,3
1143,-26880,6,8
1144,44880,6,4
1145,-1344,4,6
1146,124592,5,4
1147,-24768,4,6
1148,3520,5,6
1149,-96140,6,2
1150,2448,5,4
1151,-9344,5,7
1152,91800,6,3
1153,53664,5,5
1154,25072,6,4
1155,-1296,5,4
1156,-141792,6,5
1157,10768,5,4
1158,8208,5,4
1159,4360,6,3
1160,8672,5,5
1161,4944,6,4
1162,32480,5,5
1163,-30960,6,4
1164,448992,5,5
1165,-11880,5,3
1166,69796,6,2
1167,99072,5,8
1168,-40432,4,4
1169,27016,6,3
1170,76720,6,4
1171,1412,6,2
1172,5952,5,6
1173,-5232,5,4
1174,160944,5,4
1175,109584,6,4
1176,-8672,5,5
1177,31488,5,8
1178,97048,6,3
1179,216308,6,2
1180,31804,6,2
1181,1600,5,6
1182,14964,6,2
1183,-528,5,4
1184,35168,5,5
1185,-20800,5,6
1186,20992,5,9
1187,-33400,5,3
1188,34704,5,4
1189,-3136,6,6
1190,-9288,5,3
1191,25016,6,3
1192,-10496,5,8
1193,55432,6,3
1194,-29248,4,6
1195,-91648,4,9
1196,-7344,5,4
1197,-44984,6,3
1198,-262216,6,3
1199,25664,5,6
1200,-37984,5,5
1201,67776,5,6
1202,46976,5,7
1203,-21056,5,6
1204,186128,5,4
1205,-100900,6,2
1206,-39840,5,5
1207,41936,5,4
1208,-48,5,4
1209,67520,3,6
1210,-2928,5,4
1211,14208,4,7
1212,59752,5,3
1213,-7040,5,7
1214,302560,6,5
1215,5184,5,6
1216,8064,6,7
1217,-43600,5,4
1218,-143040,5,6
1219,-42784,5,5
1220,-28768,5,5
1221,-57456,5,4
1222,74272,5,5
1223,-120364,6,2
1224,18656,5,5
1225,-100008,6,3
1226,336,6,4
1227,-3056,5,4
1228,97056,5,5
1229,-89676,6,2
1230,4808,5,3
1231,-14136,6,3
1232,-102384,6,4
1233,108000,5,5
1234,64560,6,4
1235,49856,6,6
1236,-14140,6,2
1237,48360,5,3
1238,-20160,5,6
1239,3648,5,6
1240,51048,5,3
1241,6656,5,9
1242,-49152,6,14
1243,-6656,5,9
1244,-42392,5,3
1245,29056,5,7
1246,-744,6,3
1247,22752,4,5
1248,54312,6,3
1249,-3456,5,7
1250,13172,6,2
1251,-111156,6,2
1252,23472,5,4
1253,-768,4,8
1254,-54000,5,4
1255,-17712,6,4
1256,-30056,5,3
1257,115368,6,3
1258,39448,5,3
1259,147904,4,6
1260,28208,5,4
1261,-158464,5,8
1262,-2192,5,4
1263,-12368,5,4
1264,-10672,4,4
1265,16320,5,6
1266,-592,5,4
1267,167116,6,2
1268,-61000,6,3
1269,12816,5,4
1270,-480,6,5
1271,-132192,5,5
1272,10376,6,3
1273,-16320,5,6
1274,-32344,6,3
1275,-139052,6,2
1276,90284,6,2
1277,-103920,6,4
1278,3808,4,5
1279,64880,5,4
1280,-29160,6,3
1281,-156528,5,4
1282,-22528,5,11
1283,17760,4,5
1284,-21240,5,3
1285,-50120,5,3
1286,130656,4,5
1287,-66304,5,8
1288,-16736,4,5
1289,63672,6,3
1290,-10272,5,5
1291,33108,6,2
1292,-11880,6,3
1293,19584,5,7
1294,-24048,6,4
1295,47808,5,6
1296,-57176,6,3
1297,-31728,5,4
1298,-19584,6,7
1299,-11936,6,5
1300,-10224,6,4
1301,-58476,6,2
1302,104064,5,7
1303,8764,6,2
1304,-41184,6,5
1305,-5700,6,2
1306,-113208,6,3
1307,4192,6,5
1308,-36792,6,3
1309,18036,6,2
1310,-5148,6,2
1311,70272,4,7
1312,20912,5,4
1313,7176,5,3
1314,-8064,5,7
1315,31488,3,8
1316,58784,5,5
1317,3280,4,4
1318,-131296,5,5
1319,-1104,5,4
1320,47880,6,3
1321,-52392,6,3
1322,-67968,4,7
1323,-94300,6,2
1324,-5952,5,6
1325,25720,5,3
1326,29888,5,6
1327,-79752,5,3
1328,-34032,6,4
1329,4576,5,5
1330,-6736,6,4
1331,-16880,5,4
1332,-62656,4,6
1333,-125780,6,2
1334,69328,5,4
1335,-3600,6,4
1336,23320,6,3
1337,-19040,5,5
1338,-29792,4,5
1339,-1056,5,5
1340,-66948,6,2
1341,2992,6,4
1342,-27648,5,10
1343,-49280,4,7
1344,2040,6,3
1345,-41176,6,3
